ZteTrapBody(id=6913190322474928507, newOrClear=1, trapId=1718086414597, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT128, siteName=HRTC128_Faruqi_Family_OPX_QZ(2128), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT128_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:5:16.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4996862486118985545, newOrClear=1, trapId=1718086414605, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT134, siteName=HRTP134_Ferk_P3_MTN_HRT061(2134), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT134_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:6:40.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414605, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:6:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7772374204023828635, newOrClear=1, trapId=1718086414624, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT136, siteName=HRTC136_Shayedahe_Town_P3_OPEX_PT(2136), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT136_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:11:46.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414597, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:18:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5783694727834813948, newOrClear=1, trapId=1718086414645, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST030_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:19:12.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414645, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:20:8.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4300156791601777249, newOrClear=1, trapId=1718086414676, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST030_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:30:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414676, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:31:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414624, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:33:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3372403339356534510, newOrClear=1, trapId=1718086414754, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT184, siteName=HRT184_Qalween_OPEX_JTTS(2184), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT184_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:52:14.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3815160175850815297, newOrClear=1, trapId=1718086414808, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT037, siteName=HRTP037_Ziarate_e_Jay_P3_Etisalat_HRT018(2037), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT037_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:10:24.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7187903137266681903, newOrClear=1, trapId=1718086414847, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=SBR023, siteName=SBR023_TXN_BTS_KOCHA_E_LAGHMANI_HA_JTTS_P2(4223), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=SBR023_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:19:20.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414847, alarmCode=1014, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,11:24:24.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7090064775896427951, newOrClear=1, trapId=1718086414866, alarmCode=1014, alarmName=The link between the server and the ME is broken, siteId=HRT164, siteName=HRTC164_Paye_Manarhah_P2_Opex_PT(2164), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT164_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:24:48.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
