ZteTrapBody(id=2700864035661151716, newOrClear=1, trapId=1718086415037, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR009, siteName=KDRC009_Ansari_Market(9), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR009, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:2:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415037, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:4:16.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7751457725129127244, newOrClear=1, trapId=1718086415076, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR009, siteName=KDRC009_Ansari_Market(9), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR009, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:4:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2072886549276418031, newOrClear=1, trapId=1718086415117, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=GZN018, siteName=GZN018_GARDAN_DAWD_CPX_P2(5018), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN018, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:10:55.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415076, alarmCode=198087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:15:21.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5460904560087486496, newOrClear=1, trapId=1718086415211, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=WDK008, siteName=WDKP008_BTS_Narkh_P3(1408), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=WDK008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:43:31.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=308023205134728502, newOrClear=1, trapId=1718086415226, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=GZN021, siteName=GZN021_HOTQUL_CPX_P1(5021), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN021, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:48:36.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7049938642017781474, newOrClear=1, trapId=1718086415224, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=GZN038, siteName=GZN038_Deh_Morda_Village_of_Angorri(5038), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN038, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:48:34.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8287821483999962935, newOrClear=1, trapId=1718086415225, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=GZN010, siteName=GZNP010_JAGHOR_ANGORY_CPX_P1(5010), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:48:36.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2133284609665934712, newOrClear=1, trapId=1718086415223, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=GZN020, siteName=GZN020_GHUJUR_CPX_P2(5020), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN020, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:48:27.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7954611061037071029, newOrClear=1, trapId=1718086415227, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=GZN016, siteName=GZN016(5016), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN016, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:48:39.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
