ZteTrapBody(id=9094887677785270632, newOrClear=1, trapId=1718086415892, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GDZ001, siteName=GDZC001_BSC_Site_Gardez001_P1(3201), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,14:59:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415892, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:0:36.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414077, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,17:53:40.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2082339151314275979, newOrClear=1, trapId=1718086417189, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,19:45:15.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=160234403568684293, newOrClear=1, trapId=1718086417889, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GDZ001, siteName=GDZC001_BSC_Site_Gardez001_P1(3201), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,5:25:5.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417889, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,5:25:53.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086417189, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,6:48:38.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7427006928690384985, newOrClear=1, trapId=1718086418070, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,6:49:43.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418070, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,6:49:56.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5115940857822919725, newOrClear=1, trapId=1718086418134, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,7:25:34.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2947796785410519545, newOrClear=1, trapId=1718086418165, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=WDK015, siteName=WDKP015_Hese_1_Behsud_P3(1415), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=WDK015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,7:37:25.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086418134, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,7:57:43.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
