ZteTrapBody(id=1258519969648021995, newOrClear=1, trapId=1718086414632, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:16:45.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414632, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:20:2.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7376062732974407620, newOrClear=1, trapId=1718086414672, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:28:14.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414672, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:31:23.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2532036076460239542, newOrClear=1, trapId=1718086414955, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:53:40.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414955, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,11:56:56.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3371902486806075809, newOrClear=1, trapId=1718086415055, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:3:22.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415055, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:6:31.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=451906355734655839, newOrClear=1, trapId=1718086415878, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,14:58:49.0,+4:30, alarmClearedTime=null, alarmNodeBId=3430, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=4972514868449038164, newOrClear=1, trapId=1718086415901, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=3G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:0:49.0,+4:30, alarmClearedTime=null, alarmNodeBId=3215, alarmCellId=null, alarmRncId=7)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415878, alarmCode=199083023, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:2:6.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
