HwTrapBody(id=null, newOrClear=2, trapId=407188710, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM202, siteName=KBLMU202_AFGCHIN_OFFICE_ALOWODDIN_PARK, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU202, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:55:34, alarmClearedTime=2025-03-03 04:59:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407189663, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL279, siteName=KBLU279_DARSHAK_GROUP_CPX_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU279, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:58:53, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407189675, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM373, siteName=KBLMU373_DARYA_VILLAGE_CPX_P1, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU373, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:58:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407189675, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBLM373, siteName=KBLMU373_DARYA_VILLAGE_CPX_P1, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLMU373, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:58:59, alarmClearedTime=2025-03-03 05:03:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407190899, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL410, siteName=KBLU410_KHOWJABOGHRA_E_JADID_QZ_P2, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU410, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:12:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407191039, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL376, siteName=KBLU376_DOAGA_ABAD_DASHAT_BARCHI_MTN(KBL105)_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:14:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407191148, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL332, siteName=KBLU332_ARZAN_QIMAT_QZ_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU332, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:15:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407191148, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL332, siteName=KBLU332_ARZAN_QIMAT_QZ_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU332, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:15:49, alarmClearedTime=2025-03-03 05:18:10, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407191039, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL376, siteName=KBLU376_DOAGA_ABAD_DASHAT_BARCHI_MTN(KBL105)_P3, alarmSeverity=6, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:14:48, alarmClearedTime=2025-03-03 05:18:12, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407207037, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL222, siteName=KBLU222_DOBAI_MOBEL_BARAKI_JTTS_P3, alarmSeverity=2, alarmEventType=7, alarmNetType=172, alarmServiceType=3G, displaySiteId=KBLU222, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 07:45:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407207062, alarmCode=22214, alarmName=NodeB Unavailable, siteId=KBL485, siteName=KBLU485_AQA_ALI_SHAMS, alarmSeverity=2, alarmEventType=7, alarmNetType=9068, alarmServiceType=3G, displaySiteId=KBLU485, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 07:46:39, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
