HwTrapBody(id=null, newOrClear=1, trapId=407192180, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL370, siteName=KBLH11-KBL370_MASJED_E_SANGKASHA_JTTS_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU370, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:26:55, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407192284, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KDZ020, siteName=KDZH01-KDZ020_OWAR_SABZ_QALA_ZAL_Etisalat_(QDZ030)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KDZU020, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:28:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407193070, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KDZ030, siteName=KDZ030_UL, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KDZU030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:36:38, alarmClearedTime=2025-03-03 05:43:43, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407193961, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=MZR104, siteName=MZRH02-MZR104_KARTI_RAHMAINI_MTN( BLH073)_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU104, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:46:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407193048, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL129, siteName=KBLH11-KBL129_KODAKISTAN_HESAY_AWAL_MTN(KBL097)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU129, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:36:23, alarmClearedTime=2025-03-03 05:44:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407193669, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL340, siteName=KBLH12-KBL340_TXN_SHAHRAK_E_HAJI_NABI_JTTS_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KBLU340, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:42:53, alarmClearedTime=2025-03-03 05:44:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407194466, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL023, siteName=KBL023_UL_QZ, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU023, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:51:57, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407193193, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=TKR003, siteName=TKRH01-TKR003_BAGHAK_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=TKRU003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:38:04, alarmClearedTime=2025-03-03 05:52:34, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407194835, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL417, siteName=KBL417_UL_3G_QZ, alarmSeverity=2, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU417, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:56:04, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407193961, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=MZR104, siteName=MZRH02-MZR104_KARTI_RAHMAINI_MTN( BLH073)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU104, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:46:44, alarmClearedTime=2025-03-03 05:55:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407193455, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KDZ020, siteName=KDZH01-KDZ020_OWAR_SABZ_QALA_ZAL_Etisalat_(QDZ030)_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=KDZU020, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:41:25, alarmClearedTime=2025-03-03 05:56:49, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
