HwTrapBody(id=null, newOrClear=1, trapId=408053583, alarmCode=5700, alarmName=No AC Input Alarm, siteId=PSR002, siteName=KBLH08-PSR002_TXN_BTS_BAZARAK_FARAJ_CPX_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PSR002, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 18:34:35, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408053583, alarmCode=5700, alarmName=No AC Input Alarm, siteId=PSR002, siteName=KBLH08-PSR002_TXN_BTS_BAZARAK_FARAJ_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PSR002, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 18:34:35, alarmClearedTime=2025-03-09 19:16:06, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408107645, alarmCode=5700, alarmName=No AC Input Alarm, siteId=SMG008, siteName=MZRH02-SMG008_HAZRAT_SULTAN, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=SMG008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 06:02:01, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408107645, alarmCode=5700, alarmName=No AC Input Alarm, siteId=SMG008, siteName=MZRH02-SMG008_HAZRAT_SULTAN, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=SMG008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 06:02:01, alarmClearedTime=2025-03-10 06:35:39, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407082091, alarmCode=5700, alarmName=No AC Input Alarm, siteId=BGL022, siteName=BGLH01-BGL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_SOLAR_P2, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BGL022, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-02 10:09:02, alarmClearedTime=2025-03-10 14:16:14, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408164125, alarmCode=5700, alarmName=No AC Input Alarm, siteId=BGL022, siteName=BGLH01-BGL022_KALAN_GOZAR_KOHE_CHESHMA_CPX_SOLAR_P2, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BGL022, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 14:17:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408180848, alarmCode=5700, alarmName=No AC Input Alarm, siteId=TKR015, siteName=TKRH01-TKR015_FARKHAR, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 17:39:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408180848, alarmCode=5700, alarmName=No AC Input Alarm, siteId=TKR015, siteName=TKRH01-TKR015_FARKHAR, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR015, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 17:39:22, alarmClearedTime=2025-03-10 17:49:06, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=415117365, alarmCode=5700, alarmName=No AC Input Alarm, siteId=SMG008, siteName=MZRH02-SMG008_HAZRAT_SULTAN, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=SMG008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-06 05:49:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=415117365, alarmCode=5700, alarmName=No AC Input Alarm, siteId=SMG008, siteName=MZRH02-SMG008_HAZRAT_SULTAN, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=SMG008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-06 05:49:00, alarmClearedTime=2025-05-06 06:25:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=415121350, alarmCode=5700, alarmName=No AC Input Alarm, siteId=SMG008, siteName=MZRH02-SMG008_HAZRAT_SULTAN, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=SMG008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-06 06:40:54, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
