HwTrapBody(id=null, newOrClear=1, trapId=406062154, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:31:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062151, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:31:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062154, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:31:22, alarmClearedTime=2025-02-23 11:56:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062151, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:31:18, alarmClearedTime=2025-02-23 12:14:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067138, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:20:15, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067138, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:20:15, alarmClearedTime=2025-02-23 12:21:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067525, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:22:32, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067525, alarmCode=65080, alarmName=Mains Failure, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:22:32, alarmClearedTime=2025-02-23 12:44:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406084483, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:27:52, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406084483, alarmCode=65080, alarmName=Mains Failure, siteId=KBL491, siteName=KBL491_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU491, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 15:27:52, alarmClearedTime=2025-02-23 15:28:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406095603, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:37:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406095603, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:37:14, alarmClearedTime=2025-02-23 17:37:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406097990, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 18:07:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406097990, alarmCode=65080, alarmName=Mains Failure, siteId=KBL376, siteName=KBL376_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU376, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 18:07:22, alarmClearedTime=2025-02-23 18:08:51, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406163136, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:18:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406163136, alarmCode=65080, alarmName=Mains Failure, siteId=MZR155, siteName=MZR155_UL_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU155, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 06:18:22, alarmClearedTime=2025-02-24 06:18:55, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406179416, alarmCode=65080, alarmName=Mains Failure, siteId=KBL219, siteName=KBL219_UL_MFB_BANK_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU219, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:32:54, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406179416, alarmCode=65080, alarmName=Mains Failure, siteId=KBL219, siteName=KBL219_UL_MFB_BANK_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU219, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:32:54, alarmClearedTime=2025-02-24 09:33:06, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406180774, alarmCode=65080, alarmName=Mains Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:44:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406180774, alarmCode=65080, alarmName=Mains Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:44:16, alarmClearedTime=2025-02-24 09:44:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406181240, alarmCode=65080, alarmName=Mains Failure, siteId=KBL515, siteName=KBL515_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU515, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:48:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406181240, alarmCode=65080, alarmName=Mains Failure, siteId=KBL515, siteName=KBL515_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU515, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:48:16, alarmClearedTime=2025-02-24 09:48:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406181392, alarmCode=65080, alarmName=Mains Failure, siteId=KBL515, siteName=KBL515_UL_MTN, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU515, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:49:17, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406183502, alarmCode=65080, alarmName=3G Mains Failure, siteId=MZR001, siteName=MZRH03-MZR001_MAZAR_MOC_CPX_P3, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:10:43, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406183502, alarmCode=65080, alarmName=3G Mains Failure, siteId=MZR001, siteName=MZRH03-MZR001_MAZAR_MOC_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=MZRU001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 10:10:43, alarmClearedTime=2025-02-24 10:11:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406181392, alarmCode=65080, alarmName=Mains Failure, siteId=KBL515, siteName=KBL515_UL_MTN, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU515, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:49:17, alarmClearedTime=2025-02-24 10:14:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
