HwTrapBody(id=null, newOrClear=1, trapId=406180775, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:44:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406180775, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:44:16, alarmClearedTime=2025-02-24 09:44:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407204587, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 07:24:26, alarmClearedTime=2025-03-03 07:49:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407230605, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:46:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407230605, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 11:46:27, alarmClearedTime=2025-03-03 11:46:36, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407276671, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 19:56:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407276671, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 19:56:07, alarmClearedTime=2025-03-03 19:56:19, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407278902, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 20:30:23, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407278902, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 20:30:23, alarmClearedTime=2025-03-03 20:30:29, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407282191, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 21:25:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407282191, alarmCode=65081, alarmName=4G/3G Rectifier Failure, siteId=KBL281, siteName=KBL281_UL_AWCC, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU281, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 21:25:31, alarmClearedTime=2025-03-03 21:26:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
