HwTrapBody(id=null, newOrClear=1, trapId=406061587, alarmCode=21807, alarmName=OML Fault, siteId=KBLM256, siteName=KBLH07-KBLM256_GUL_BAHAR_CENTER_JTTS_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBLM256, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:25:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061587, alarmCode=21807, alarmName=OML Fault, siteId=KBLM256, siteName=KBLH07-KBLM256_GUL_BAHAR_CENTER_JTTS_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBLM256, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:25:29, alarmClearedTime=2025-02-23 11:25:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406061840, alarmCode=21807, alarmName=OML Fault, siteId=KBL177, siteName=KBLH12-KBL177_TXN_DOGH_ABAD_JTTS_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:27:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061840, alarmCode=21807, alarmName=OML Fault, siteId=KBL177, siteName=KBLH12-KBL177_TXN_DOGH_ABAD_JTTS_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL177, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:27:49, alarmClearedTime=2025-02-23 11:30:22, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062686, alarmCode=21807, alarmName=OML Fault, siteId=KBL171, siteName=KBLH11-KBL171_Paghman_Darai12Amam_JTTS_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL171, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:13, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062911, alarmCode=21807, alarmName=OML Fault, siteId=KBL072, siteName=KBL039_MBSC-KBL072_HUP_PUL_CHARKHI_CPX_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL072, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:37:50, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063351, alarmCode=21807, alarmName=OML Fault, siteId=KBL413, siteName=KBLH11-KBL413_SARAK_E_ROSA_JTTS_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL413, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:58, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062686, alarmCode=21807, alarmName=OML Fault, siteId=KBL171, siteName=KBLH11-KBL171_Paghman_Darai12Amam_JTTS_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL171, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:13, alarmClearedTime=2025-02-23 11:44:07, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406063351, alarmCode=21807, alarmName=OML Fault, siteId=KBL413, siteName=KBLH11-KBL413_SARAK_E_ROSA_JTTS_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL413, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:58, alarmClearedTime=2025-02-23 11:50:05, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064210, alarmCode=21807, alarmName=OML Fault, siteId=PRN005, siteName=KBLH08-PRN005_JABUL_SARAJ_MTN_PRN003__P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN005, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:50:55, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064213, alarmCode=21807, alarmName=OML Fault, siteId=PRN019, siteName=KBLH08-PRN019_Koe_Safi_Distract_Parwan_Province_SOLAR, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN019, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:50:57, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064796, alarmCode=21807, alarmName=OML Fault, siteId=KBL121, siteName=KBL039_MBSC-KBL121_Qwai-e-Markaz_Hill_OPEXPT_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL121, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:56:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406059700, alarmCode=21807, alarmName=OML Fault, siteId=KBL401, siteName=KBLH11-KBL401_HISI_AWAL_SARAK_E_QANUNI_MTN(KBL069)_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL401, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:05:58, alarmClearedTime=2025-02-23 11:56:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064796, alarmCode=21807, alarmName=OML Fault, siteId=KBL121, siteName=KBL039_MBSC-KBL121_Qwai-e-Markaz_Hill_OPEXPT_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL121, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:56:19, alarmClearedTime=2025-02-23 11:57:22, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065111, alarmCode=21807, alarmName=OML Fault, siteId=MZR139, siteName=MZRH03-MZR139_SHIR_ABAD_DADADI_ROAD_QZ_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR139, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:59:43, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065111, alarmCode=21807, alarmName=OML Fault, siteId=MZR139, siteName=MZRH03-MZR139_SHIR_ABAD_DADADI_ROAD_QZ_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR139, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:59:43, alarmClearedTime=2025-02-23 12:10:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062911, alarmCode=21807, alarmName=OML Fault, siteId=KBL072, siteName=KBL039_MBSC-KBL072_HUP_PUL_CHARKHI_CPX_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL072, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:37:50, alarmClearedTime=2025-02-23 12:11:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064210, alarmCode=21807, alarmName=OML Fault, siteId=PRN005, siteName=KBLH08-PRN005_JABUL_SARAJ_MTN_PRN003__P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN005, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:50:55, alarmClearedTime=2025-02-23 12:19:43, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406051017, alarmCode=21807, alarmName=OML Fault, siteId=KBL280, siteName=KBL039_MBSC-KBL280_JABAR_VILLAGE_VDTC_CPX_P1, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL280, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 09:38:36, alarmClearedTime=2025-02-23 12:21:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064213, alarmCode=21807, alarmName=OML Fault, siteId=PRN019, siteName=KBLH08-PRN019_Koe_Safi_Distract_Parwan_Province_SOLAR, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN019, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:50:57, alarmClearedTime=2025-02-23 12:22:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067817, alarmCode=21807, alarmName=OML Fault, siteId=KBL407, siteName=KBLH12-KBL407_JAI_RAISS_DEH_MURAD_KHAN_PT_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL407, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067817, alarmCode=21807, alarmName=OML Fault, siteId=KBL407, siteName=KBLH12-KBL407_JAI_RAISS_DEH_MURAD_KHAN_PT_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL407, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:05, alarmClearedTime=2025-02-23 12:30:33, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068531, alarmCode=21807, alarmName=OML Fault, siteId=KBL316, siteName=KBLH08-KBL316_SARE_KOTAL_KHAIR_KAHANA_ETISALAT(KBL257)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL316, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:33:21, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406068531, alarmCode=21807, alarmName=OML Fault, siteId=KBL316, siteName=KBLH08-KBL316_SARE_KOTAL_KHAIR_KAHANA_ETISALAT(KBL257)_P3, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL316, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:33:21, alarmClearedTime=2025-02-23 12:34:42, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068861, alarmCode=21807, alarmName=OML Fault, siteId=PRN014, siteName=KBLH08-PRN014_DOSARAKA_E_BAGRAM_Etisalat_PRN024_SOLAR_CPX_P2, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN014, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:36:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406068861, alarmCode=21807, alarmName=OML Fault, siteId=PRN014, siteName=KBLH08-PRN014_DOSARAKA_E_BAGRAM_Etisalat_PRN024_SOLAR_CPX_P2, alarmSeverity=6, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN014, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:36:07, alarmClearedTime=2025-02-23 12:36:31, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406068929, alarmCode=21807, alarmName=OML Fault, siteId=JLD101, siteName=JLDH01-JLD101_CAMP_FORME_ HADA_OPEX_Nayab, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=JLD101, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:36:36, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406069059, alarmCode=21807, alarmName=OML Fault, siteId=TKR008, siteName=TKRH01-TKR008_BAHARAK_MTN(THR047)_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR008, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:37:53, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
