HwTrapBody(id=null, newOrClear=1, trapId=406061219, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KDZ026, siteName=KDZ026_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KDZ026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:20:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406061219, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KDZ026, siteName=KDZ026_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KDZ026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:20:11, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061219, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KDZ026, siteName=KDZ026_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KDZ026_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:20:11, alarmClearedTime=2025-02-23 11:39:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064004, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL413, siteName=KBL413_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL413_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:46:31, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064004, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL413, siteName=KBL413_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL413_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:46:31, alarmClearedTime=2025-02-23 11:48:15, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064397, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL401, siteName=KBL401_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL401_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:05:00, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064397, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL401, siteName=KBL401_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL401_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:05:00, alarmClearedTime=2025-02-23 11:47:55, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064467, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL401, siteName=KBL401_UL, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL401_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064467, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL401, siteName=KBL401_UL, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL401_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:49:29, alarmClearedTime=2025-02-23 11:51:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065377, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:27:52, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065377, alarmCode=29201, alarmName=S1 Interface Fault, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=3, alarmNetType=194, alarmServiceType=4G, displaySiteId=KBL391_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:27:52, alarmClearedTime=2025-02-23 11:59:58, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
