HwTrapBody(id=null, newOrClear=1, trapId=406078884, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 14:15:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406078884, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 14:15:46, alarmClearedTime=2025-02-23 14:15:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407216866, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:32:45, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407216866, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:32:45, alarmClearedTime=2025-03-03 09:32:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407219526, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:56:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407219526, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 09:56:12, alarmClearedTime=2025-03-03 09:56:19, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407252371, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:17:37, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407252371, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 15:17:37, alarmClearedTime=2025-03-03 15:17:44, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407313373, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-04 03:23:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407313373, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-04 03:23:46, alarmClearedTime=2025-03-04 03:23:53, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407990293, alarmCode=65059, alarmName=Emerson Rectifier Failure, siteId=KBL247, siteName=KBLH11-KBL247_HUB_BTS_SIA_RING_SARAK_40_METRA_WAZIR_ABAD_CPX_P1, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL247, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 08:06:56, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
