HwTrapBody(id=null, newOrClear=1, trapId=406055948, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:31:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406055948, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:31:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062738, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL092, siteName=KBL092_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU092, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:44, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406062744, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL017, siteName=KBL017_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062738, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL092, siteName=KBL092_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU092, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:44, alarmClearedTime=2025-02-23 11:35:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406055948, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:31:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406055948, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:31:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406018590, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL492, siteName=KBL492_UL_Etisalat, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU492, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 03:28:02, alarmClearedTime=2025-02-23 11:40:48, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406055948, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL103, siteName=KBL103_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU103, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 10:31:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406062744, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL017, siteName=KBL017_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:35:46, alarmClearedTime=2025-02-23 11:42:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406063309, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=KBL017, siteName=KBL017_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:42:32, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
