HwTrapBody(id=null, newOrClear=1, trapId=406061077, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:19:48, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406059963, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:08:04, alarmClearedTime=2025-02-23 11:31:24, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406064938, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:58:25, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406064938, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL493, siteName=KBL493_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU493, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:58:25, alarmClearedTime=2025-02-23 11:58:40, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406061077, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL391, siteName=KBL391_UL_JTTS, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU391, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:19:48, alarmClearedTime=2025-02-23 11:27:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066198, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:12, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066198, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:10:12, alarmClearedTime=2025-02-23 12:10:46, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406066758, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:16:10, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406066758, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL394, siteName=KBL394_UL_QZ, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU394, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:16:10, alarmClearedTime=2025-02-23 12:22:32, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406067855, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:33, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406067855, alarmCode=65069, alarmName=NodeB DC Under Voltage, siteId=KBL154, siteName=KBL154_UL_PT, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU154, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 12:25:33, alarmClearedTime=2025-02-23 12:26:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
