HwTrapBody(id=null, newOrClear=2, trapId=406020106, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 03:47:32, alarmClearedTime=2025-02-23 11:59:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406065021, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:59:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406065021, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 11:59:14, alarmClearedTime=2025-02-23 12:03:14, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=405981622, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-22 18:05:01, alarmClearedTime=2025-02-23 13:29:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406094423, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:20:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406094423, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-23 17:20:49, alarmClearedTime=2025-02-24 09:01:25, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=406177721, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 09:10:41, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=406153598, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-02-24 04:37:46, alarmClearedTime=2025-02-24 10:34:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407180793, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 04:10:20, alarmClearedTime=2025-03-03 11:05:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407166475, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 00:54:00, alarmClearedTime=2025-03-03 13:25:23, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407265721, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 17:36:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407190103, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 05:05:29, alarmClearedTime=2025-03-03 18:46:47, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407265721, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 17:36:29, alarmClearedTime=2025-03-03 22:44:33, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407288091, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-03 22:46:49, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407300587, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-04 01:09:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=407316455, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-04 03:47:51, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407982446, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 07:07:12, alarmClearedTime=2025-03-09 13:16:10, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=407945405, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-08 23:39:02, alarmClearedTime=2025-03-09 14:31:27, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408046200, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 17:01:56, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408053428, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 18:32:05, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408053428, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 18:32:05, alarmClearedTime=2025-03-09 23:57:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408095121, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 03:55:06, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408096490, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 04:12:17, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408121036, alarmCode=65501, alarmName=Mains Failure, siteId=TKR010, siteName=TKRH01-TKR010_RUSTAQ_CPX_P1, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 08:00:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408121036, alarmCode=65501, alarmName=Mains Failure, siteId=TKR010, siteName=TKRH01-TKR010_RUSTAQ_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=TKR010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 08:00:18, alarmClearedTime=2025-03-10 08:38:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408046200, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-09 17:01:56, alarmClearedTime=2025-03-10 09:53:17, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408096490, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 04:12:17, alarmClearedTime=2025-03-10 10:37:16, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408145659, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 11:49:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408145659, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 11:49:38, alarmClearedTime=2025-03-10 12:22:49, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=408095121, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 03:55:06, alarmClearedTime=2025-03-10 16:49:56, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408180915, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 17:40:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408192774, alarmCode=65501, alarmName=Mains Failure, siteId=PRN010, siteName=KBLH08-PRN010_SAYAGIRD_GHURBAND_SOLAR_P1_CPX, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=PRN010, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-10 20:50:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=408220326, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-03-11 03:44:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=412234788, alarmCode=65501, alarmName=Mains Failure, siteId=MZR054, siteName=MZRH02-MZR054_BB_BTS_ASIAB_E_IBRAHEEM_KHAN_CPX_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR054, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-04-13 07:21:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=412234788, alarmCode=65501, alarmName=Mains Failure, siteId=MZR054, siteName=MZRH02-MZR054_BB_BTS_ASIAB_E_IBRAHEEM_KHAN_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR054, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-04-13 07:21:29, alarmClearedTime=2025-04-13 07:22:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=412234889, alarmCode=65501, alarmName=Mains Failure, siteId=MZR054, siteName=MZRH02-MZR054_BB_BTS_ASIAB_E_IBRAHEEM_KHAN_CPX_P3, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR054, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-04-13 07:22:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=412234889, alarmCode=65501, alarmName=Mains Failure, siteId=MZR054, siteName=MZRH02-MZR054_BB_BTS_ASIAB_E_IBRAHEEM_KHAN_CPX_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=MZR054, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-04-13 07:22:09, alarmClearedTime=2025-04-13 07:22:11, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=412353545, alarmCode=65501, alarmName=Mains Failure, siteId=BMN006, siteName=KBLH08-BMN006_BB_KHAM_NEEL_YAKAWOLANG_DISTRACT_SOLAR_CPX_P1, alarmSeverity=1, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=BMN006, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-04-14 05:52:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=415167884, alarmCode=65501, alarmName=Mains Failure, siteId=KPS013, siteName=KBLH08-KPS013_SAR_E_SAYYAD_JTTS_P3, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=2G, displaySiteId=KPS013, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-06 16:57:29, alarmClearedTime=2025-05-07 05:39:11, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
