ZteTrapBody(id=1983953756915032977, newOrClear=1, trapId=1718086414565, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT106, siteName=HRTC106_Sarpole_Gazerga_P3_Etisalat_HRT072(2106), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT106, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:2:26.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1445181352384110615, newOrClear=1, trapId=1718086414586, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT118, siteName=HRTC118_Khwaja_Tak_P2(2118), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT118, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:3:35.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414565, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:4:58.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1113064502782773631, newOrClear=1, trapId=1718086414594, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT156, siteName=HRTP156_Bechaghi_P3_Opex_QZ(2156), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT156, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:5:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8361536287699235144, newOrClear=1, trapId=1718086414595, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT136, siteName=HRTC136_Shayedahe_Town_P3_OPEX_PT(2136), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT136, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:5:12.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5891862741725882368, newOrClear=1, trapId=1718086414612, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=KST033, siteName=KSTC033_BTS_Kost_City_Mando_khail_P3_MTN_KST017(3433), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST033, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:9:5.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414612, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:9:27.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3566508492488680597, newOrClear=1, trapId=1718086414619, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HRT153, siteName=HRTP153_Barnabad_P3_Opex_QZ(2153), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT153, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:10:7.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7108834410306129653, newOrClear=1, trapId=1718086414623, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=FAR012, siteName=FARP012_Pushta_Road(2412), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=FAR012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:10:36.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3642752316691079010, newOrClear=1, trapId=1718086414626, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=HLM003, siteName=HLMC003_BTS_Tange_Sia_MTN_HLM013_P3(5603), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HLM003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,10:13:23.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086414626, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,10:14:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
