ZteTrapBody(id=8010104810809131507, newOrClear=1, trapId=1732079029120, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN072, siteName=GZNL072_Alezei_Village_Andar_District_CAPX(5072), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN072_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:23:7.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029120, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,11:27:7.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=782708327627103945, newOrClear=1, trapId=1718086415153, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=FAR001, siteName=FARC001_Nahia_Saiom_P1(2401), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=FAR001_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:19:53.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415153, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:20:53.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=658047736793240745, newOrClear=1, trapId=1718086415279, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN016, siteName=GZNP016_HUB_KHO-E-SURKHLO_CPX_P1(5016), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN016_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:49:31.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3592184706185288646, newOrClear=1, trapId=1718086415283, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN038, siteName=GZNP038_Deh_Morda_Village_of_Angorri(5038), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN038_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:49:34.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4020861637893694239, newOrClear=1, trapId=1718086415296, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN020, siteName=GZNP020_Ghujur_CPX_P2(5020), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN020_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:49:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7033268357806833724, newOrClear=1, trapId=1718086415315, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=GZN066, siteName=GZNP066_Bazar_Snagi_Masha_Jaghori(5066), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN066_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:50:13.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415279, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:50:31.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415283, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:50:35.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415296, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:50:47.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415315, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:51:5.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=894181570135798588, newOrClear=1, trapId=1718086415923, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=JLD054, siteName=JLDL054_AFGHAN_MENA_OPEX_NAYAB_P3(3054), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=JLD054_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:1:36.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415923, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:4:36.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8765168294848407086, newOrClear=1, trapId=1718086415941, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=KST018, siteName=KSTP018_BTS_La_Kan_P3(3418), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=KST018_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:10:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086415941, alarmCode=198094466, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:11:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1923087931097521046, newOrClear=1, trapId=1718086416061, alarmCode=198094466, alarmName=S1 GTP-U path unavailable, siteId=HRT057, siteName=HRTP057_Kulu_Urdu_e_Zafar_P1(2057), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=HRT057_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,15:38:59.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
