ZteTrapBody(id=8605356088583659259, newOrClear=1, trapId=1732079029118, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN031, siteName=GZNL031_QARABAGHI_JTTS_P3(5031), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN031_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:24:28.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4290792647996770360, newOrClear=1, trapId=1732079029119, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN072, siteName=GZNL072_Alezei_Village_Andar_District_CAPX(5072), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN072_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,11:24:32.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029119, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,11:26:26.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029118, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,11:26:42.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8920242135066910678, newOrClear=1, trapId=1732079029133, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=WDK008, siteName=WDKP008_BTS_Narkh_P3(1408), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=WDK008_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:45:10.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1365429581670805344, newOrClear=1, trapId=1732079029134, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=WDK006, siteName=WDKP006_BTS_Chak-e-Wardak(1406), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=WDK006_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,12:45:40.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029134, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:51:55.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029133, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,12:51:55.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2874961068864288406, newOrClear=1, trapId=1732079029159, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN040, siteName=GZNL040_QALA_E_AMIR_MOHD_KHAN_JTTS_P3(5040), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN040_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-29,14:48:52.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029159, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-29,15:38:28.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7303936387921999074, newOrClear=1, trapId=1732079029208, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN007, siteName=GZNL007_KOTAL_E_ROZA(5007), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN007_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,11:22:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029208, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,11:29:59.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1801495880942261557, newOrClear=1, trapId=1732079029214, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN007, siteName=GZNL007_KOTAL_E_ROZA(5007), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN007_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,11:48:25.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029214, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,13:39:46.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6326194557534390033, newOrClear=1, trapId=1732079029222, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN007, siteName=GZNL007_KOTAL_E_ROZA(5007), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN007_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,14:15:5.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029222, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,14:52:47.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8525652267545984361, newOrClear=1, trapId=1732079029235, alarmCode=198099803, alarmName=Link between OMM and NE broken, siteId=GZN029, siteName=GZNL029_Quala-e-Ashrat (MSC)_CPX_P3(5029), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=4G, displaySiteId=GZN029_UL, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-12-30,15:8:9.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1732079029235, alarmCode=198099803, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-12-30,15:37:47.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
