ZteTrapBody(id=7565104182412967129, newOrClear=1, trapId=1718086943369, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT063, siteName=HRTP063_Kohi_Khoja_Sabz_Posh_Etisalat(63), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT063, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-6,10:32:54.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086943369, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-6,10:35:5.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5433415846168546479, newOrClear=1, trapId=1718086943381, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT184, siteName=HRTP184_Qalween_OPEX_JTTS(184), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT184, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-6,10:36:35.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7239555616548004824, newOrClear=1, trapId=1718086943387, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=FAR017, siteName=FARC017_BTS_Moqabile_Welayat_P2_MTN_FRH016(2417), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=FAR017, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-6,10:38:16.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086943381, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-6,10:40:10.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=6141196778426889754, newOrClear=1, trapId=1718086943410, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT184, siteName=HRTP184_Qalween_OPEX_JTTS(184), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT184, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-6,10:41:19.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086943387, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-6,10:43:52.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086943410, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-6,10:44:57.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7312739483676699062, newOrClear=1, trapId=1718086943428, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT211, siteName=HRTP211_Sarbeland Village_(ZENDAJAN)(2311), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT211, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-6,10:52:53.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=2782416702336221811, newOrClear=1, trapId=1718086943460, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-6,11:4:57.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086943428, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-6,11:7:0.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086943460, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-6,11:7:54.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4763073636605972088, newOrClear=1, trapId=1718087114641, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=PTK003, siteName=PTKP003_BTS_Saroobi_P3_MTN_PTK006(3803), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=PTK003, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-7,10:1:3.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718087114641, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-7,10:2:57.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1388212107121496257, newOrClear=1, trapId=1718087114660, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=KST030, siteName=KSTC030_BTS_Kost_City_P3(3430), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KST030, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-7,10:5:45.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718087114660, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-7,10:8:48.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718087114797, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-5-7,10:59:50.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4563314926788704010, newOrClear=1, trapId=1718087114948, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=HRT141, siteName=HRTP141_Kamana_Bunyad_P3_Opex_QZ(141), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT141, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-5-7,11:4:28.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
