HwTrapBody(id=null, newOrClear=1, trapId=401721014, alarmCode=65033, alarmName=Mains Failure, siteId=GZN012, siteName=GZNH01-GZN012_ARAIANA_HOTEL_MOQUR_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=GZN012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-01-20 07:49:36, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401721024, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-06 19:34:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401721078, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-06 19:34:30, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401732451, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=1, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-06 21:02:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401721014, alarmCode=65033, alarmName=Mains Failure, siteId=GZN012, siteName=GZNH01-GZN012_ARAIANA_HOTEL_MOQUR_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=GZN012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-01-20 07:49:36, alarmClearedTime=2025-01-20 09:42:18, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401721024, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-06 19:34:09, alarmClearedTime=2007-07-06 21:26:51, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401721078, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-06 19:34:30, alarmClearedTime=2007-07-06 21:26:51, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401732451, alarmCode=65069, alarmName=NodeB Battery Low Voltage, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-06 21:02:16, alarmClearedTime=2007-07-06 21:26:54, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401757927, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 00:10:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=401757927, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 00:10:38, alarmClearedTime=2007-07-07 00:48:20, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=401767796, alarmCode=65067, alarmName=NodeB Mains Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-07-07 01:27:07, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
