HwTrapBody(id=null, newOrClear=2, trapId=389214045, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 07:59:14, alarmClearedTime=2024-10-28 08:01:12, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214333, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:01:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389213729, alarmCode=25622, alarmName=Mains Input Out of Range, siteId=KBL258, siteName=KBL258_UL, alarmSeverity=6, alarmEventType=1, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU258, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 07:55:37, alarmClearedTime=2024-10-28 07:58:33, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214377, alarmCode=65033, alarmName=Mains Failure, siteId=KBL201, siteName=KBLH07-KBL201_TXN_Salim_Khil_Hotkhil_CPX_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL201, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:01:53, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214525, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:03:14, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389141907, alarmCode=65033, alarmName=Mains Failure, siteId=KBL191, siteName=KBLH07-KBL191_KIA_MILITARY_CAMP_EAST_OPEX_JTTS_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL191, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-27 20:34:03, alarmClearedTime=2024-10-28 08:04:13, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=389214525, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=6, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:03:14, alarmClearedTime=2024-10-28 08:04:26, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214713, alarmCode=25621, alarmName=Power Supply DC Output Out of Range, siteId=GZN032, siteName=GZNH01-GZN032_Waghaz_Distract, alarmSeverity=2, alarmEventType=1, alarmNetType=19, alarmServiceType=3G, displaySiteId=GZNU032, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:08, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214753, alarmCode=65033, alarmName=Mains Failure, siteId=KBL191, siteName=KBLH07-KBL191_KIA_MILITARY_CAMP_EAST_OPEX_JTTS_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL191, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214768, alarmCode=65033, alarmName=Mains Failure, siteId=KBL201, siteName=KBLH07-KBL201_TXN_Salim_Khil_Hotkhil_CPX_P2, alarmSeverity=2, alarmEventType=2, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL201, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:38, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=389214794, alarmCode=21807, alarmName=OML Fault, siteId=KBL378, siteName=KBLH11-KBL378_TAP_E_KHUJA_BOGHRA_QZ_P3, alarmSeverity=2, alarmEventType=8, alarmNetType=19, alarmServiceType=2G, displaySiteId=KBL378, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-10-28 08:05:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
