ZteTrapBody(id=2952658454239418824, newOrClear=1, trapId=1718116879308, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=GDZ016, siteName=GDZC016_BTS_Salo_Khail_P3(3216), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ016, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,16:56:25.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879308, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,16:57:58.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=245361760322907574, newOrClear=1, trapId=1718116879331, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=GDZ007, siteName=GDZC007_BTS_Myanur_Kala_P3(3207), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ007, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:0:41.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879331, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:1:8.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=1092070145934754288, newOrClear=1, trapId=1718116879344, alarmCode=198092550, alarmName=MAINS FAILURE, siteId=GDZ007, siteName=GDZC007_BTS_Myanur_Kala_P3(3207), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ007, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:4:38.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879344, alarmCode=198092550, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:5:14.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7870878309528354980, newOrClear=1, trapId=1718116879348, alarmCode=199087337, alarmName=Site Abis control link broken, siteId=GDZ016, siteName=GDZC016_BTS_Salo_Khail_P3(3216), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ016, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:7:7.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=4835794452272284266, newOrClear=1, trapId=1718116879356, alarmCode=198083023, alarmName=NodeB is out of service, siteId=null, siteName=KDRZR01-RNC01(4), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=2G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:8:30.0,+4:30, alarmClearedTime=null, alarmNodeBId=70, alarmCellId=null, alarmRncId=4)
ZteTrapBody(id=null, newOrClear=2, trapId=1718116879348, alarmCode=199087337, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2024-6-12,17:8:33.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=8233896847080360895, newOrClear=1, trapId=1718116879357, alarmCode=198087337, alarmName=Site Abis control link broken, siteId=KDR070, siteName=KDRC070_Pacha_Khan_Town(70), alarmSeverity=null, alarmEventType=1, alarmNetType=null, alarmServiceType=2G, displaySiteId=KDR070, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,17:8:35.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3419323191339450292, newOrClear=1, trapId=1718116879369, alarmCode=199083023, alarmName=NodeB is out of service, siteId=null, siteName=GDZRZ01(7), alarmSeverity=null, alarmEventType=2, alarmNetType=null, alarmServiceType=2G, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2024-6-12,16:33:33.0,+4:30, alarmClearedTime=null, alarmNodeBId=3412, alarmCellId=null, alarmRncId=7)
